Team,Player,PlayerID,GP,G,A,PTS,SOG,HIT,BLK,PIM,TOI,ATOI,S%,EVG,PPG,SHG,GWG,EVA,PPA,SHA
PIT,Noel Acciari,acciano01,55,4,3,7,59,124,85,10,713.4,12.97,6.78%,4,0,0,1,3,0,0
MIN,Calen Addison,addisca01,12,0,5,5,18,3,4,6,201.68,16.81,0.00%,0,0,0,0,2,3,0
SJS,Calen Addison,addisca01,60,1,11,12,75,45,79,66,1041.37,17.36,1.33%,1,0,0,0,5,6,0
NSH,Egor Afanasyev,afanaeg01,2,0,0,0,5,6,2,0,25.98,12.99,0.00%,0,0,0,0,0,0,0
CAR,Sebastian Aho,ahose01,78,36,53,89,216,48,18,36,1530.95,19.63,16.67%,24,11,1,10,31,21,1
NYI,Sebastian Aho,ahose02,58,2,7,9,48,40,67,12,950.7,16.39,4.17%,2,0,0,0,5,2,0
STL,Nikita Alexandrov,alexani01,23,0,2,2,15,29,7,4,196.1,8.53,0.00%,0,0,0,0,2,0,0
WSH,Alexander Alexeyev,alexeal01,39,1,2,3,20,48,59,6,534.15,13.7,5.00%,1,0,0,0,2,0,0
VEG,Michael Amadio,amadimi01,73,14,13,27,117,48,34,16,977.6,13.39,11.97%,11,3,0,2,11,2,0
VAN,Nils Åman,amanni01,43,3,4,7,28,31,22,8,444.37,10.33,10.71%,3,0,0,0,4,0,0
LAK,Jaret Anderson-Dolan,anderja01,30,1,3,4,29,53,21,6,328.9,10.96,3.45%,0,0,1,0,3,0,0
NSH,Jaret Anderson-Dolan,anderja01,1,0,0,0,2,3,1,0,13.65,13.65,0.00%,0,0,0,0,0,0,0
MTL,Josh Anderson,anderjo05,78,9,11,20,141,169,40,74,1206.15,15.46,6.38%,9,0,0,0,9,2,0
CHI,Joey Anderson,anderjo08,55,5,12,17,57,48,18,8,745.13,13.55,8.77%,5,0,0,0,12,0,0
LAK,Michael Anderson,andermi02,74,2,16,18,89,128,129,18,1526.72,20.63,2.25%,2,0,0,0,15,0,1
CGY,Rasmus Andersson,anderra01,78,9,30,39,159,42,186,47,1858.45,23.83,5.66%,8,0,1,3,22,8,0
PHI,Emil Andrae,andraem01,4,0,0,0,0,5,6,0,52,13,--,0,0,0,0,0,0,0
CBJ,Tyler Angle,anglety01,2,0,0,0,0,5,1,0,16.67,8.33,--,0,0,0,0,0,0,0
WPG,Mason Appleton,applema01,82,14,22,36,122,107,44,26,1315.93,16.05,11.48%,11,2,1,2,21,0,1
MTL,Joel Armia,armiajo01,66,17,8,25,139,49,41,34,1026.4,15.55,12.23%,15,0,2,3,8,0,0
LAK,Viktor Arvidsson,arvidvi01,18,6,9,15,59,8,18,14,300.45,16.69,10.17%,5,1,0,1,5,4,0
DET,Zach Aston-Reese,astonza01,3,0,0,0,1,3,0,2,15.47,5.16,0.00%,0,0,0,0,0,0,0
CHI,Andreas Athanasiou,athanan01,28,2,7,9,44,11,21,7,366.73,13.1,4.55%,2,0,0,0,5,2,0
PHI,Cam Atkinson,atkinca01,70,13,15,28,175,35,46,27,1116.18,15.95,7.43%,11,2,0,3,11,4,0
PHI,Ronald Attard,attarro01,12,0,2,2,14,22,14,6,184.62,15.38,0.00%,0,0,0,0,2,0,0
WSH,Nicolas Aubé-Kubel,aubekni01,60,6,10,16,58,159,26,23,732.45,12.21,10.34%,6,0,0,0,10,0,0
VEG,Jonathan Marchessault,audymjo01,82,42,27,69,266,107,23,40,1467.38,17.89,15.79%,34,8,0,5,18,9,0
CGY,Mikael Backlund,backlmi01,82,15,24,39,209,70,33,24,1577.23,19.23,7.18%,12,2,1,2,22,1,1
WSH,Nicklas Bäckström,backsni02,8,0,1,1,12,2,5,2,116.47,14.56,0.00%,0,0,0,0,1,0,0
NJD,Kevin Bahl,bahlke01,81,1,10,11,63,146,101,80,1405.03,17.35,1.59%,1,0,0,1,10,0,0
TOR,Kevin Bahl,bahlke01,1,0,0,0,0,5,2,2,21.48,21.48,--,0,0,0,0,0,0,0
SJS,Justin Bailey,baileju01,59,5,9,14,70,76,29,6,665.57,11.28,7.14%,5,0,0,0,8,1,0
VAN,Arshdeep Bains,bainsar01,8,0,0,0,4,7,2,6,94.45,11.81,0.00%,0,0,0,0,0,0,0
FLA,Uvis Balinskis,balinuv01,26,1,2,3,22,33,15,8,366.63,14.1,4.55%,1,0,0,0,2,0,0
SJS,Alexander Barabanov,barabal01,46,4,9,13,67,27,15,12,730.13,15.87,5.97%,4,0,0,0,7,2,0
VEG,Ivan Barbashev,barbaiv01,82,19,26,45,122,180,44,42,1321.28,16.11,15.57%,16,3,0,3,24,2,0
FLA,Aleksander Barkov,barkoal01,73,23,57,80,193,104,50,24,1433.48,19.64,11.92%,18,5,0,4,31,24,2
TBL,Alex Barré-Boulet,barreal01,35,6,3,9,42,25,8,10,389.37,11.12,14.29%,4,2,0,0,3,0,0
ARI,Alex Barré-Boulet,barreal01,1,0,0,0,4,1,0,0,13.43,13.43,0.00%,0,0,0,0,0,0,0
NSH,Tyson Barrie,barrity01,41,1,14,15,65,14,47,16,751.2,18.32,1.54%,1,0,0,0,8,6,0
MTL,Justin Barron,barroju01,48,7,6,13,60,61,59,16,894.1,18.63,11.67%,6,1,0,1,6,0,0
WPG,Morgan Barron,barromo01,80,11,7,18,94,122,45,23,839.75,10.5,11.70%,11,0,0,3,6,1,0
NYI,Mathew Barzal,barzama01,80,23,57,80,240,54,52,34,1610.6,20.13,9.58%,18,5,0,4,37,20,0
NJD,Nathan Bastian,bastina01,54,5,7,12,57,143,27,32,548.93,10.17,8.77%,5,0,0,1,7,0,0
OTT,Drake Batherson,bathedr01,82,28,38,66,196,98,33,42,1490.22,18.17,14.29%,21,7,0,4,23,15,0
CBJ,Jake Bean,beanja01,72,4,9,13,76,28,110,32,1175.55,16.33,5.26%,4,0,0,0,9,0,0
WSH,Ethan Bear,bearet01,24,1,3,4,24,16,31,10,357.73,14.91,4.17%,1,0,0,1,3,0,0
VAN,Anthony Beauvillier,beauvan01,22,2,6,8,37,21,17,4,300.35,13.65,5.41%,1,1,0,0,5,1,0
CHI,Anthony Beauvillier,beauvan01,23,2,4,6,36,15,9,2,330.3,14.36,5.56%,2,0,0,0,3,1,0
NSH,Anthony Beauvillier,beauvan01,15,1,2,3,32,17,9,2,184.2,12.28,3.13%,0,1,0,0,2,0,0
MIN,Adam Beckman,beckmad01,11,0,2,2,10,13,3,12,103.48,9.41,0.00%,0,0,0,0,2,0,0
CHI,Connor Bedard,bedarco01,68,22,39,61,206,54,27,28,1345.27,19.78,10.68%,18,4,0,2,22,17,0
BOS,John Beecher,beechjo01,52,7,3,10,38,112,34,24,552.43,10.62,18.42%,7,0,0,1,3,0,0
SEA,Pierre-Édouard Bellemare,bellepi01,40,4,3,7,36,20,22,6,393.53,9.84,11.11%,3,0,1,0,3,0,0
PHI,Louis Belpedio,belpelo01,12,2,2,4,12,16,18,0,158.43,13.2,16.67%,2,0,0,1,2,0,0
CBJ,Emil Bemström,bemstem01,32,5,6,11,49,24,21,10,413.2,12.91,10.20%,2,3,0,0,6,0,0
PIT,Emil Bemström,bemstem01,24,3,2,5,34,12,13,2,210.65,8.78,8.82%,2,1,0,1,1,1,0
SEA,Matthew Beniers,beniema01,77,15,22,37,133,52,44,20,1383.17,17.96,11.28%,9,6,0,1,15,7,0
FLA,Sam Bennett,bennesa01,69,20,21,41,171,173,43,100,1146.08,16.61,11.70%,15,5,0,2,14,7,0
SJS,Matt Benning,bennima01,14,0,2,2,13,19,29,14,258.72,18.48,0.00%,0,0,0,0,2,0,0
DAL,Jamie Benn,bennja01,82,21,39,60,164,110,50,41,1239.83,15.12,12.80%,13,7,1,3,22,15,2
TOR,Simon Benoit,benoisi01,64,1,4,5,52,246,102,56,1102.6,17.23,1.92%,1,0,0,0,4,0,0
BUF,Zach Benson,bensoza01,71,11,19,30,98,35,35,36,1030.73,14.52,11.22%,11,0,0,1,17,2,0
DET,Jonatan Berggren,berggjo02,12,2,4,6,14,2,7,2,130.33,10.86,14.29%,2,0,0,0,4,0,0
OTT,Jacob Bernard-Docker,bernaja01,71,4,10,14,51,62,152,25,1108.92,15.62,7.84%,4,0,0,0,9,0,1
NSH,Jacob Bernard-Docker,bernaja01,1,0,0,0,0,0,4,0,21.02,21.02,--,0,0,0,0,0,0,0
TOR,Tyler Bertuzzi,bertuty01,80,21,22,43,160,98,44,53,1283.65,16.05,13.13%,16,5,0,2,21,1,0
BUF,Brandon Biro,birobr01,5,2,0,2,2,0,2,0,54.22,10.84,100.00%,2,0,0,0,0,0,0
SEA,Oliver Bjorkstrand,bjorkol01,82,20,39,59,186,67,29,12,1327,16.18,10.75%,12,8,0,3,22,17,0
LAK,Tobias Björnfot,bjornto01,1,0,0,0,0,1,1,0,10.2,10.2,--,0,0,0,0,0,0,0
VEG,Tobias Björnfot,bjornto01,2,0,0,0,0,1,4,2,28.02,14.01,--,0,0,0,0,0,0,0
FLA,Tobias Björnfot,bjornto01,1,0,0,0,1,2,2,0,17.02,17.02,0.00%,0,0,0,0,0,0,0
ARI,Nick Bjugstad,bjugsni01,76,22,23,45,165,118,48,59,1325.8,17.44,13.33%,19,2,1,2,19,4,0
CHI,Colin Blackwell,blackco01,44,8,4,12,88,45,22,10,637.67,14.49,9.09%,7,1,0,2,4,0,0
STL,Sammy Blais,blaissa01,53,1,6,7,33,194,19,31,513.53,9.69,3.03%,1,0,0,0,6,0,0
CAR,Jackson Blake,blakeja02,1,0,0,0,2,0,0,0,15.3,15.3,0.00%,0,0,0,0,0,0,0
CBJ,Nick Blankenburg,blankni01,12,1,0,1,10,21,15,4,194.58,16.22,10.00%,1,0,0,0,0,0,0
NYR,Anton Blidh,blidhan01,1,0,0,0,1,1,0,2,5.35,5.35,0.00%,0,0,0,0,0,0,0
VAN,Teddy Blueger,bluegte01,68,6,22,28,97,98,43,31,1015.6,14.94,6.19%,4,0,2,0,20,0,2
VAN,Brock Boeser,boesebr01,81,40,33,73,204,56,29,14,1506.78,18.6,19.61%,24,16,0,4,24,9,0
TBL,Zach Bogosian,bogosza01,4,0,0,0,6,4,2,0,47.8,11.95,0.00%,0,0,0,0,0,0,0
MIN,Zach Bogosian,bogosza01,61,3,11,14,77,105,81,63,1114.43,18.27,3.90%,3,0,0,1,10,0,1
NYI,Samuel Bolduc,boldusa01,34,2,3,5,32,44,40,6,446.93,13.15,6.25%,1,1,0,0,3,0,0
STL,Zachary Bolduc,bolduza01,25,5,4,9,38,12,12,6,300.38,12.02,13.16%,5,0,0,0,4,0,0
MIN,Matt Boldy,boldyma01,75,29,40,69,227,33,32,48,1418.33,18.91,12.78%,19,10,0,7,25,15,0
NYR,Nick Bonino,boninni01,45,1,4,5,31,10,78,8,551.43,12.25,3.23%,1,0,0,0,4,0,0
CBJ,Adam Boqvist,boqviad01,35,1,9,10,45,11,42,0,639.92,18.28,2.22%,1,0,0,0,5,4,0
BOS,Jesper Boqvist,boqvije01,47,6,8,14,51,71,15,8,524.05,11.15,11.76%,6,0,0,1,8,0,0
SJS,Thomas Bordeleau,bordeth01,27,6,5,11,48,12,19,18,405.65,15.02,12.50%,2,4,0,1,2,3,0
SEA,William Borgen,borgewi01,82,3,22,25,97,195,111,65,1442.2,17.59,3.09%,3,0,0,0,22,0,0
STL,Robert Bortuzzo,borturo01,4,0,0,0,1,5,3,7,41.57,10.39,0.00%,0,0,0,0,0,0,0
NYI,Robert Bortuzzo,borturo01,23,0,0,0,10,33,48,20,329.17,14.31,0.00%,0,0,0,0,0,0,0
